Unnamed: 0,Año,Trimestre,Provincia,Velocidad_Media,Objetivo_KPI
130,2021,3,La Pampa,1.299,-54.535
131,2021,3,La Rioja,3.887,36.045000000000016
132,2021,3,Mendoza,1.337,-53.205000000000005
133,2021,3,Misiones,3.088,8.080000000000014
134,2021,3,Neuquén,3.834,34.19000000000001
135,2021,3,Río Negro,2.54,-11.099999999999993
136,2021,3,Salta,3.121,9.235
137,2021,3,San Juan,704.0,24540.0
138,2021,3,San Luis,2.17,-24.049999999999994
139,2021,3,Santa Cruz,769.0,26815.000000000004
140,2021,3,Santa Fe,3.313,15.955000000000016
141,2021,3,Santiago Del Estero,1.335,-53.27499999999999
142,2021,3,Tierra Del Fuego,952.0,33220.0
143,2021,3,Tucumán,4.21,47.35000000000002
144,2021,2,Buenos Aires,5.276,176.98999999999998
145,2021,2,Capital Federal,7.275,281.93750000000006
146,2021,2,Catamarca,4.219,121.49750000000003
147,2021,2,Chaco,3.74,96.35000000000002
148,2021,2,Chubut,768.0,40220.00000000001
149,2021,2,Córdoba,3.959,107.84750000000001
150,2021,2,Corrientes,3.037,59.442499999999995
151,2021,2,Entre Ríos,2.762,45.00500000000001
152,2021,2,Formosa,2.397,25.84249999999999
153,2021,2,Jujuy,2.581,35.50250000000001
154,2021,2,La Pampa,1.228,-35.529999999999994
155,2021,2,La Rioja,3.853,102.28250000000001
156,2021,2,Mendoza,1.347,-29.2825
157,2021,2,Misiones,2.868,50.57000000000001
158,2021,2,Neuquén,3.611,89.57750000000001
159,2021,2,Río Negro,2.375,24.687499999999996
160,2021,2,Salta,2.924,53.51000000000001
161,2021,2,San Juan,699.0,36597.5
162,2021,2,San Luis,2.166,13.71500000000001
163,2021,2,Santa Cruz,763.0,39957.5
164,2021,2,Santa Fe,3.07,61.175000000000004
165,2021,2,Santiago Del Estero,1.272,-33.21999999999999
166,2021,2,Tierra Del Fuego,859.0,44997.5
167,2021,2,Tucumán,4.031,111.6275
168,2021,1,Buenos Aires,5.079,433.295
169,2021,1,Capital Federal,6.829,617.045
170,2021,1,Catamarca,3.997,319.68500000000006
171,2021,1,Chaco,3.363,253.115
172,2021,1,Chubut,753.0,78965.0
173,2021,1,Córdoba,3.617,279.78499999999997
174,2021,1,Corrientes,2.599,172.895
175,2021,1,Entre Ríos,2.387,150.63500000000002
176,2021,1,Formosa,2.098,120.29
177,2021,1,Jujuy,2.678,181.19
178,2021,1,La Pampa,1.073,12.664999999999992
179,2021,1,La Rioja,1.27,33.350000000000016
180,2021,1,Mendoza,1.26,32.30000000000002
181,2021,1,Misiones,2.508,163.34
182,2021,1,Neuquén,3.424,259.52000000000004
183,2021,1,Río Negro,2.192,130.16
