,Unnamed: 0,Año,Trimestre,Provincia,Accesos por cada 100 hogares
147,147,2021,2,Chaco,"43,33"
148,148,2021,2,Chubut,"72,29"
149,149,2021,2,Córdoba,"80,12"
150,150,2021,2,Corrientes,"43,54"
151,151,2021,2,Entre Ríos,"61,66"
152,152,2021,2,Formosa,"33,23"
153,153,2021,2,Jujuy,"56,18"
154,154,2021,2,La Pampa,"82,08"
155,155,2021,2,La Rioja,"76,98"
156,156,2021,2,Mendoza,"40,97"
157,157,2021,2,Misiones,"45,01"
158,158,2021,2,Neuquén,"69,14"
159,159,2021,2,Río Negro,"61,94"
160,160,2021,2,Salta,"54,93"
161,161,2021,2,San Juan,"39,28"
162,162,2021,2,San Luis,"83,48"
163,163,2021,2,Santa Cruz,"44,01"
164,164,2021,2,Santa Fe,"75,07"
165,165,2021,2,Santiago Del Estero,"46,56"
166,166,2021,2,Tierra Del Fuego,"67,89"
167,167,2021,2,Tucumán,"54,93"
168,168,2021,1,Buenos Aires,"69,11"
169,169,2021,1,Capital Federal,"108,42"
170,170,2021,1,Catamarca,"48,90"
171,171,2021,1,Chaco,"43,14"
172,172,2021,1,Chubut,"68,99"
173,173,2021,1,Córdoba,"78,59"
174,174,2021,1,Corrientes,"42,66"
175,175,2021,1,Entre Ríos,"60,44"
176,176,2021,1,Formosa,"32,73"
177,177,2021,1,Jujuy,"55,63"
178,178,2021,1,La Pampa,"81,78"
179,179,2021,1,La Rioja,"49,81"
180,180,2021,1,Mendoza,"39,15"
181,181,2021,1,Misiones,"43,17"
182,182,2021,1,Neuquén,"66,84"
183,183,2021,1,Río Negro,"60,88"
184,184,2021,1,Salta,"53,93"
185,185,2021,1,San Juan,"39,06"
186,186,2021,1,San Luis,"81,24"
187,187,2021,1,Santa Cruz,"41,65"
188,188,2021,1,Santa Fe,"73,92"
189,189,2021,1,Santiago Del Estero,"45,67"
190,190,2021,1,Tierra Del Fuego,"77,35"
191,191,2021,1,Tucumán,"54,82"
192,192,2020,4,Buenos Aires,"68,98"
193,193,2020,4,Capital Federal,"108,31"
194,194,2020,4,Catamarca,"49,41"
195,195,2020,4,Chaco,"43,03"
196,196,2020,4,Chubut,"68,35"
197,197,2020,4,Córdoba,"78,08"
198,198,2020,4,Corrientes,"42,43"
199,199,2020,4,Entre Ríos,"59,47"
200,200,2020,4,Formosa,"32,49"
201,201,2020,4,Jujuy,"53,46"
202,202,2020,4,La Pampa,"81,77"
203,203,2020,4,La Rioja,"50,11"
204,204,2020,4,Mendoza,"38,63"
205,205,2020,4,Misiones,"42,64"
206,206,2020,4,Neuquén,"67,00"
207,207,2020,4,Río Negro,"61,09"
208,208,2020,4,Salta,"54,04"
